CurrentTime,RealGazePos_x,RealGazePos_y,RealGazePos_z
0.2286577,4.70542,2.125521,-35.91844
0.4286575,4.70542,2.125521,-35.91844
0.6486568,4.285986,1.032907,-36.01596
0.8486576,5.035742,1.017938,-36.04325
1.078657,7.102759,1.52904,-36.42266
1.278657,6.725195,0.9890121,-36.37295
1.498657,3.500952,0.8809173,-36.09299
1.718657,4.98728,0.6841079,-36.10218
1.948657,6.688208,0.8832128,-36.3811
2.148657,6.074927,1.000868,-36.20023
2.348658,5.741675,1.06311,-36.12502
2.578657,2.827612,1.680304,-36.09264
2.778657,3.381445,2.763225,-35.98731
3.008657,2.32334,3.117025,-36.22498
3.208657,2.4094,2.918011,-36.18442
3.408657,2.589209,2.780673,-36.13101
3.608657,3.017676,2.438033,-36.03125
3.808658,2.940161,2.563697,-36.04798
4.028657,6.584326,1.731646,-36.23703
4.228657,4.757788,1.519375,-35.9588
4.428658,4.069556,1.502533,-35.9593
4.628657,4.069556,1.502533,-35.9593
4.828657,4.069556,1.502533,-35.9593
5.028657,4.636206,1.626791,-35.94408
5.228658,4.52854,1.883626,-35.92323
5.448657,3.384619,1.949208,-35.98365
5.648658,2.839331,1.848728,-36.07819
5.848657,3.585059,2.098437,-35.95492
6.048657,3.800635,2.288824,-35.93261
6.248656,3.890845,2.364653,-35.92637
6.448657,3.871802,2.501103,-35.92947
6.648658,3.92771,2.414795,-35.92451
6.848657,3.94065,2.473352,-35.92467
7.048657,3.965918,2.431317,-35.92256
7.248656,3.953101,2.457654,-35.92365
7.448657,4.005225,2.444914,-35.92076
7.688657,5.060523,2.12577,-35.93982
7.888658,4.547949,2.222491,-35.91208
8.128657,-0.2298827,1.882601,-37.40096
8.328656,2.078589,2.007903,-36.2609
8.528657,2.869116,1.801645,-36.07537
8.728658,2.704199,2.082236,-36.09559
8.928657,2.736182,2.163059,-36.08665
9.128657,2.810889,2.436385,-36.07032
9.348657,7.62522,1.709122,-36.61492
9.598657,2.440772,2.433398,-36.15445
9.818658,5.156104,1.936622,-35.95533
10.01866,4.580542,2.224357,-35.91272
10.30866,6.67832,1.800024,-36.25929
10.51866,6.485693,1.981367,-36.19443
10.71866,6.388159,1.966384,-36.16941
10.91866,6.12229,2.249092,-36.09809
11.11866,6.120703,2.154052,-36.09921
11.31866,6.228125,2.195489,-36.12286
11.51866,6.228125,2.195489,-36.12286
11.71866,6.541602,2.138213,-36.2043
11.91866,6.534277,1.998396,-36.207
12.11866,6.421607,2.004514,-36.17636
12.34866,1.557837,1.951097,-36.44131
12.54866,3.143652,1.726069,-36.03209
12.76866,3.509985,1.773071,-35.97894
12.96866,3.512915,2.109818,-35.96227
13.18866,1.710791,1.984278,-36.38325
13.38866,3.421118,1.880585,-35.98267
13.58866,3.87522,2.064224,-35.9315
13.78866,3.778052,2.181291,-35.9356
13.98866,3.758765,2.007812,-35.94212
14.18866,3.9,2.163264,-35.92736
14.38866,3.829443,2.137133,-35.93262
14.58866,3.722022,1.841187,-35.95354
14.79866,5.660986,1.207591,-36.08956
14.99866,5.578345,1.386129,-36.0532
15.19866,5.614844,1.471355,-36.04904
15.43866,1.841406,2.262816,-36.3306
15.63866,3.264136,1.981639,-35.9986
15.83866,3.999732,2.229899,-35.92062
16.03866,4.00022,2.433796,-35.92085
16.23866,3.885474,2.432179,-35.92741
16.43866,3.831885,2.458301,-35.93143
16.63866,4.509619,2.309209,-35.91078
16.87866,6.689429,1.348159,-36.30721
17.07866,5.720801,1.20069,-36.10031
17.27866,4.600562,1.301832,-35.97835
17.47866,4.647559,1.289273,-35.98132
17.67866,4.568945,1.406982,-35.96473
17.87866,4.54978,1.46615,-35.95776
18.09866,1.827368,1.617895,-36.36808
18.36866,8.440649,1.725883,-37.0316
18.56866,6.256079,1.978722,-36.13614
18.76866,6.276709,2.072052,-36.13743
18.96866,6.51853,2.114569,-36.19855
19.16866,6.636206,2.241086,-36.22942
19.36866,6.824561,2.117536,-36.28909
19.56866,6.911475,2.032599,-36.32013
19.76866,7.212866,1.825003,-36.43756
19.98866,3.295386,1.687888,-36.01231
20.18866,4.073462,1.676611,-35.9431
20.38866,3.824805,1.499728,-35.97363
20.63866,0.219214,1.87522,-37.10432
20.83866,2.573462,1.705069,-36.14612
21.03865,3.617285,2.02701,-35.95409
21.23866,3.561621,1.7969,-35.97172
21.43866,3.561621,1.7969,-35.97172
