TargetNum,Accuracy
1,1
2,1
3,0.6666667
4,0.5
5,0.6
6,0.6666667
7,0.7142857
8,0.75
9,0.7777778
10,0.7
11,0.7272727
12,0.75
13,0.7692308
14,0.7857143
15,0.8
16,0.8125
17,0.8235294
18,0.8333333
19,0.8421053
20,0.85
21,0.8571429
22,0.8636364
23,0.8695652
24,0.875
25,0.88
26,0.8846154
27,0.8888889
28,0.8928571
29,0.8965517
30,0.9
31,0.9032258
32,0.90625
33,0.9090909
34,0.9117647
35,0.9142857
36,0.9166667
37,0.8918919
38,0.8947368
39,0.8974359
40,0.9
41,0.8780488
42,0.8809524
43,0.8837209
44,0.8863636
45,0.8888889
46,0.8913044
47,0.893617
48,0.8958333
49,0.8979592
50,0.9
51,0.9019608
52,0.9038461
53,0.9056604
54,0.9074074
